epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,217.538,1.50462,2.8077,1.31013,0.00484,0.82857,0.53564,0.26242,1.29027,3.26625,1.08805,0.000653333,0.000653333,0.000653333
2,497.413,1.51802,2.05157,1.28118,0.55314,0.45714,0.53704,0.26914,1.50993,2.6882,1.22113,0.00125466,0.00125466,0.00125466
3,2289.65,1.58406,1.83191,1.33056,0.60364,0.68571,0.64657,0.32129,1.4028,2.06252,1.24082,0.00178999,0.00178999,0.00178999
4,2493.37,1.58014,1.68926,1.34153,0.70329,0.74286,0.78441,0.453,1.44067,2.20193,1.24334,0.001703,0.001703,0.001703
5,2701.07,1.52255,1.51348,1.30987,0.88983,0.65714,0.8243,0.38369,1.60936,2.2129,1.49218,0.001604,0.001604,0.001604
6,2953.25,1.53236,1.44244,1.33077,0.67774,0.74286,0.76335,0.37625,1.49852,1.63342,1.25687,0.001505,0.001505,0.001505
7,3223.36,1.51022,1.32989,1.28849,0.84158,1,0.94877,0.5426,1.27545,1.16154,1.11958,0.001406,0.001406,0.001406
8,3417.63,1.44949,1.22628,1.25908,0.84983,0.97143,0.94441,0.51381,1.49048,1.34425,1.08877,0.001307,0.001307,0.001307
9,3623.51,1.45192,1.23339,1.25527,0.90145,0.94286,0.95398,0.55238,1.3548,1.13606,1.11282,0.001208,0.001208,0.001208
10,3819.73,1.4462,1.17211,1.27231,0.96849,0.87847,0.96486,0.5551,1.53243,1.07642,1.15642,0.001109,0.001109,0.001109
11,4051.9,1.4256,1.23704,1.27969,0.93077,0.97143,0.9708,0.59857,1.49156,1.0324,1.09271,0.00101,0.00101,0.00101
12,4290.29,1.45164,1.14553,1.28364,0.95642,0.91429,0.96746,0.55367,1.29501,0.88151,1.0999,0.000911,0.000911,0.000911
13,4866.18,1.39432,1.1125,1.24236,0.86323,0.90185,0.96085,0.58311,1.34744,0.87593,1.10788,0.000812,0.000812,0.000812
14,5033.54,1.37865,1.00674,1.24883,0.86782,0.938,0.96617,0.60749,1.22653,0.78959,1.05378,0.000713,0.000713,0.000713
15,5192.33,1.28953,0.97207,1.1973,0.84526,1,0.9768,0.60688,1.31994,0.81684,1.06988,0.000614,0.000614,0.000614
16,5359.3,1.33209,0.93307,1.19421,0.94333,1,0.98718,0.62029,1.24328,0.7543,1.03327,0.000515,0.000515,0.000515
17,5536.65,1.27025,0.90034,1.1737,0.91563,0.97143,0.9831,0.61678,1.14694,0.69447,1.01538,0.000416,0.000416,0.000416
18,5713.42,1.27409,0.86566,1.19859,0.94381,0.97143,0.98593,0.60062,1.22813,0.71862,1.03013,0.000317,0.000317,0.000317
19,5885.04,1.19533,0.83785,1.15992,0.94569,0.99518,0.99049,0.63369,1.16756,0.65589,0.99754,0.000218,0.000218,0.000218
20,6044.89,1.19336,0.79975,1.13664,0.94335,1,0.99135,0.62861,1.18755,0.69315,0.99664,0.000119,0.000119,0.000119
